"03432: Felte elg, etter region, alder, intervall (år) og statistikkvariabel"

"region";"alder";"intervall (år)";"Felte elg"
"K-3218 Ås";"I alt";"1986-1987";16
"K-3218 Ås";"I alt";"1987-1988";16
"K-3218 Ås";"I alt";"1988-1989";20
"K-3218 Ås";"I alt";"1989-1990";19
"K-3218 Ås";"I alt";"1990-1991";18
"K-3218 Ås";"I alt";"1991-1992";19
"K-3218 Ås";"I alt";"1992-1993";18
"K-3218 Ås";"I alt";"1993-1994";21
"K-3218 Ås";"I alt";"1994-1995";29
"K-3218 Ås";"I alt";"1995-1996";24
"K-3218 Ås";"I alt";"1996-1997";22
"K-3218 Ås";"I alt";"1997-1998";20
"K-3218 Ås";"I alt";"1998-1999";25
"K-3218 Ås";"I alt";"1999-2000";25
"K-3218 Ås";"I alt";"2000-2001";23
"K-3218 Ås";"I alt";"2001-2002";18
"K-3218 Ås";"I alt";"2002-2003";26
"K-3218 Ås";"I alt";"2003-2004";27
"K-3218 Ås";"I alt";"2004-2005";30
"K-3218 Ås";"I alt";"2005-2006";28
"K-3218 Ås";"I alt";"2006-2007";26
"K-3218 Ås";"I alt";"2007-2008";27
"K-3218 Ås";"I alt";"2008-2009";27
"K-3218 Ås";"I alt";"2009-2010";27
"K-3218 Ås";"I alt";"2010-2011";22
"K-3218 Ås";"I alt";"2011-2012";22
"K-3218 Ås";"I alt";"2012-2013";21
"K-3218 Ås";"I alt";"2013-2014";19
"K-3218 Ås";"I alt";"2014-2015";23
"K-3218 Ås";"I alt";"2015-2016";22
"K-3218 Ås";"I alt";"2016-2017";18
"K-3218 Ås";"I alt";"2017-2018";25
"K-3218 Ås";"I alt";"2018-2019";19
"K-3218 Ås";"I alt";"2019-2020";25
"K-3218 Ås";"I alt";"2020-2021";26
"K-3218 Ås";"I alt";"2021-2022";15
"K-3218 Ås";"I alt";"2022-2023";13
"K-3218 Ås";"I alt";"2023-2024";17
"K-3218 Ås";"I alt";"2024-2025";13
"K-3218 Ås";"I alt";"2025-2026";12
